,month,name,latitude,longitude,count,rank
0,9,Lafayette St & E 8 St,40.73028666,-73.9907647,2503,1
1,9,W 20 St & 11 Ave,40.746745,-74.007756,2343,2
2,9,W 4 St & 7 Ave S,40.73401143,-74.00293877,2193,3
3,9,W 20 St & 11 Ave,40.746745,-74.007756,2102,4
4,9,Broadway & E 14 St,40.73454567,-73.99074142,2084,5
5,9,8 Ave & W 31 St,40.75044999,-73.99481051,2060,6
6,9,Lafayette St & E 8 St,40.73028666,-73.9907647,2018,7
7,9,E 17 St & Broadway,40.73704984,-73.99009296,2000,8
8,9,Carmine St & 6 Ave,40.73038599,-74.00214988,1912,9
9,9,Cleveland Pl & Spring St,40.7218158,-73.99720307,1895,10
10,10,Lafayette St & E 8 St,40.73028666,-73.9907647,2497,1
11,10,2 Ave & E 31 St,40.74290902,-73.97706058,2322,2
12,10,W 20 St & 11 Ave,40.746745,-74.007756,2309,3
13,10,University Pl & E 14 St,40.73492695,-73.99200509,2305,4
14,10,Broadway & E 14 St,40.73454567,-73.99074142,2214,5
15,10,2 Ave & E 31 St,40.74290902,-73.97706058,2141,6
16,10,Lafayette St & E 8 St,40.73028666,-73.9907647,2092,7
17,10,E 17 St & Broadway,40.73704984,-73.99009296,2006,8
18,10,W 20 St & 11 Ave,40.746745,-74.007756,1982,9
19,10,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,1960,10
20,11,Lafayette St & E 8 St,40.73028666,-73.9907647,1247,1
21,11,E 17 St & Broadway,40.73704984,-73.99009296,1137,2
22,11,Broadway & E 14 St,40.73454567,-73.99074142,1133,3
23,11,University Pl & E 14 St,40.73492695,-73.99200509,964,4
24,11,W 20 St & 11 Ave,40.746745,-74.007756,954,5
25,11,Broadway & E 14 St,40.73454567,-73.99074142,865,6
26,11,Lafayette St & E 8 St,40.73028666,-73.9907647,859,7
27,11,W 4 St & 7 Ave S,40.73401143,-74.00293877,855,8
28,11,8 Ave & W 31 St,40.75044999,-73.99481051,853,9
29,11,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,826,10
30,8,W 20 St & 11 Ave,40.746745,-74.007756,2604,1
31,8,West St & Chambers St,40.71754834,-74.01322069,2550,2
32,8,Lafayette St & E 8 St,40.73028666,-73.9907647,2372,3
33,8,Broadway & E 14 St,40.73454567,-73.99074142,2355,4
34,8,Carmine St & 6 Ave,40.73038599,-74.00214988,2291,5
35,8,W 20 St & 11 Ave,40.746745,-74.007756,2273,6
36,8,Lafayette St & E 8 St,40.73028666,-73.9907647,2263,7
37,8,West St & Chambers St,40.71754834,-74.01322069,2242,8
38,8,Carmine St & 6 Ave,40.73038599,-74.00214988,2144,9
39,8,E 17 St & Broadway,40.73704984,-73.99009296,2079,10
40,12,Lafayette St & E 8 St,40.73028666,-73.9907647,808,1
41,12,Broadway & E 14 St,40.73454567,-73.99074142,775,2
42,12,E 17 St & Broadway,40.73704984,-73.99009296,761,3
43,12,W 21 St & 6 Ave,40.74173969,-73.99415556,649,4
44,12,University Pl & E 14 St,40.73492695,-73.99200509,557,5
45,12,8 Ave & W 31 St,40.75044999,-73.99481051,550,6
46,12,1 Ave & E 15 St,40.73221853,-73.98165557,539,7
47,12,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,523,8
48,12,8 Ave & W 31 St,40.75044999,-73.99481051,522,9
49,12,W 4 St & 7 Ave S,40.73401143,-74.00293877,516,10
50,7,W 20 St & 11 Ave,40.746745,-74.007756,2236,1
51,7,West St & Chambers St,40.71754834,-74.01322069,2165,2
52,7,Lafayette St & E 8 St,40.73028666,-73.9907647,2073,3
53,7,Broadway & E 14 St,40.73454567,-73.99074142,2055,4
54,7,Carmine St & 6 Ave,40.73038599,-74.00214988,2016,5
55,7,West St & Chambers St,40.71754834,-74.01322069,1955,6
56,7,Carmine St & 6 Ave,40.73038599,-74.00214988,1932,7
57,7,Lafayette St & E 8 St,40.73028666,-73.9907647,1922,8
58,7,W 20 St & 11 Ave,40.746745,-74.007756,1864,9
59,7,E 17 St & Broadway,40.73704984,-73.99009296,1774,10
