,month,name,latitude,longitude,count,rank
0,9,E 17 St & Broadway,40.73704984,-73.99009296,6097,1
1,9,W 20 St & 11 Ave,40.746745,-74.007756,4805,2
2,9,8 Ave & W 31 St,40.75044999,-73.99481051,4768,3
3,9,W 41 St & 8 Ave,40.75640548,-73.9900262,4631,4
4,9,West St & Chambers St,40.71754834,-74.01322069,4609,5
5,9,W 20 St & 11 Ave,40.746745,-74.007756,4564,6
6,9,Lafayette St & E 8 St,40.73028666,-73.9907647,4424,7
7,9,Pershing Square N,40.75188406,-73.97770164,4337,8
8,9,Broadway & W 24 St,40.7423543,-73.98915076,4288,9
9,9,W 21 St & 6 Ave,40.74173969,-73.99415556,4254,10
10,10,8 Ave & W 31 St,40.75044999,-73.99481051,6633,1
11,10,E 17 St & Broadway,40.73704984,-73.99009296,5876,2
12,10,Lafayette St & E 8 St,40.73028666,-73.9907647,5098,3
13,10,Pershing Square N,40.75188406,-73.97770164,4885,4
14,10,Lafayette St & E 8 St,40.73028666,-73.9907647,4650,5
15,10,W 20 St & 11 Ave,40.746745,-74.007756,4589,6
16,10,Broadway & E 14 St,40.73454567,-73.99074142,4500,7
17,10,Broadway & E 22 St,40.7403432,-73.98955109,4425,8
18,10,West St & Chambers St,40.71754834,-74.01322069,4256,9
19,10,E 17 St & Broadway,40.73704984,-73.99009296,4219,10
20,8,E 17 St & Broadway,40.73704984,-73.99009296,5529,1
21,8,8 Ave & W 33 St,40.751551,-73.993934,4392,2
22,8,Lafayette St & E 8 St,40.73028666,-73.9907647,4310,3
23,8,8 Ave & W 31 St,40.75044999,-73.99481051,4259,4
24,8,Pershing Square N,40.75188406,-73.97770164,4237,5
25,8,W 20 St & 11 Ave,40.746745,-74.007756,4085,6
26,8,Lafayette St & E 8 St,40.73028666,-73.9907647,4034,7
27,8,West St & Chambers St,40.71754834,-74.01322069,4025,8
28,8,E 17 St & Broadway,40.73704984,-73.99009296,3973,9
29,8,Broadway & W 24 St,40.7423543,-73.98915076,3937,10
30,12,8 Ave & W 31 St,40.75044999,-73.99481051,3446,1
31,12,E 17 St & Broadway,40.73704984,-73.99009296,2982,2
32,12,W 21 St & 6 Ave,40.74173969,-73.99415556,2924,3
33,12,8 Ave & W 33 St,40.751551,-73.993934,2759,4
34,12,W 41 St & 8 Ave,40.75640548,-73.9900262,2583,5
35,12,Pershing Square N,40.75188406,-73.97770164,2523,6
36,12,Lafayette St & E 8 St,40.73028666,-73.9907647,2405,7
37,12,Broadway & E 22 St,40.7403432,-73.98955109,2347,8
38,12,W 21 St & 6 Ave,40.74173969,-73.99415556,2341,9
39,12,Pershing Square N,40.75188406,-73.97770164,2205,10
40,11,8 Ave & W 31 St,40.75044999,-73.99481051,5687,1
41,11,E 17 St & Broadway,40.73704984,-73.99009296,4737,2
42,11,W 21 St & 6 Ave,40.74173969,-73.99415556,3976,3
43,11,Lafayette St & E 8 St,40.73028666,-73.9907647,3772,4
44,11,W 41 St & 8 Ave,40.75640548,-73.9900262,3730,5
45,11,Broadway & E 22 St,40.7403432,-73.98955109,3601,6
46,11,Pershing Square N,40.75188406,-73.97770164,3595,7
47,11,8 Ave & W 33 St,40.751551,-73.993934,3558,8
48,11,E 17 St & Broadway,40.73704984,-73.99009296,3404,9
49,11,Broadway & E 14 St,40.73454567,-73.99074142,3296,10
50,7,E 17 St & Broadway,40.73704984,-73.99009296,4183,1
51,7,8 Ave & W 31 St,40.75044999,-73.99481051,3704,2
52,7,8 Ave & W 33 St,40.751551,-73.993934,3465,3
53,7,W 20 St & 11 Ave,40.746745,-74.007756,3371,4
54,7,Broadway & W 24 St,40.7423543,-73.98915076,3326,5
55,7,Broadway & E 14 St,40.73454567,-73.99074142,3258,6
56,7,West St & Chambers St,40.71754834,-74.01322069,3224,7
57,7,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,3214,8
58,7,W 20 St & 11 Ave,40.746745,-74.007756,3181,9
59,7,Vesey Pl & River Terrace,40.7153379,-74.01658354,3129,10
