,id,name,latitude,longitude,capacity,num_bikes_available,num_bikes_disabled
88,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,41,1,0
89,289,Monroe St & Classon Ave,40.6845683,-73.95881081,19,13,0
90,406,Hicks St & Montague St,40.69512845,-73.99595065,34,1,0
91,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,25,2,0
92,195,Liberty St & Broadway,40.70905623,-74.01043382,45,21,1
93,3255,8 Ave & W 31 St,40.75058535,-73.99468482,19,8,1
94,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,30,5,2
95,3427,Lafayette St & Jersey St,40.72430527,-73.99600983,40,32,0
96,448,W 37 St & 10 Ave,40.75660359,-73.9979009,31,0,0
97,3359,E 68 St & Madison Ave,40.7691572,-73.96703464,35,7,0
98,239,Willoughby St & Fleet St,40.69196566,-73.9813018,31,23,0
99,3142,1 Ave & E 62 St,40.7612274,-73.96094022,41,2,0
100,266,Avenue D & E 8 St,40.72368361,-73.97574813,24,0,1
101,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,31,31,0
102,3100,Nassau Ave & Newell St,40.72481256,-73.94752622,39,1,0
103,357,E 11 St & Broadway,40.73261787,-73.99158043,27,12,2
104,3298,Warren St & Court St,40.686371,-73.99383324,23,3,1
105,3159,W 67 St & Broadway,40.77492513,-73.98266566,31,3,0
106,3413,Wyckoff St & 3 Ave,40.6827549,-73.98258555,22,3,1
107,2022,E 60 St & York Ave,40.759107,-73.959223,33,11,0
108,253,W 13 St & 5 Ave,40.73543934,-73.99453948,55,12,1
109,260,Broad St & Bridge St,40.70365182,-74.01167797,35,20,3
110,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,31,13,1
111,3400,E 110 St & Madison Ave,40.7961535,-73.94782145,24,15,1
112,3382,Carroll St & Smith St,40.680611,-73.99475825,31,3,0
113,3231,E 67 St & Park Ave,40.7678008,-73.96592081,39,4,0
114,3437,Riverside Dr & W 91 St,40.79313481,-73.97700369,39,1,0
115,3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,23,5,0
116,3043,Lewis Ave & Decatur St,40.6814598,-73.934903,19,2,0
117,82,St James Pl & Pearl St,40.71117416,-74.00016545,27,12,1
118,262,Washington Park,40.6917823,-73.9737299,24,8,0
119,483,E 12 St & 3 Ave,40.73223272,-73.98889957,35,2,0
120,3128,21 St & 43 Ave,40.75052534,-73.94594845,23,12,1
121,3421,Hoyt St & Warren St,40.6843549,-73.98901629,23,4,0
122,531,Forsyth St & Broome St,40.71893904,-73.99266288,39,7,3
123,3226,W 82 St & Central Park West,40.78275,-73.97137,45,1,0
124,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,55,0,1
125,3078,Broadway & Roebling St,40.70924826,-73.96063149,27,4,0
126,3357,W 106 St & Amsterdam Ave,40.8008363,-73.96644925,35,9,0
127,3410,Dean St & Hoyt St,40.6864442,-73.98759104,31,12,2
128,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,23,13,1
129,3323,W 106 St & Central Park West,40.7981856,-73.9605909,59,5,0
130,526,E 33 St & 5 Ave,40.74765947,-73.98490707,39,23,0
131,437,Macon St & Nostrand Ave,40.68098339,-73.95004798,24,21,2
132,3336,E 97 St & Madison Ave,40.787801,-73.953559,41,10,3
133,432,E 7 St & Avenue A,40.72621788,-73.98379855,29,2,1
134,422,W 59 St & 10 Ave,40.770513,-73.988038,55,0,0
135,450,W 49 St & 8 Ave,40.76227205,-73.98788205,59,4,1
136,3316,W 104 St & Amsterdam Ave,40.7989937,-73.96621738,47,19,0
137,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,47,24,0
138,3176,W 64 St & West End Ave,40.77452835,-73.98753759,43,14,0
139,331,Pike St & Monroe St,40.71173107,-73.99193043,27,1,0
140,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,27,9,2
141,342,Columbia St & Rivington St,40.71739973,-73.98016555,29,0,2
142,476,E 31 St & 3 Ave,40.74394314,-73.97966069,47,2,0
143,3366,West End Ave & W 107 St,40.8021174,-73.96818053,31,14,1
144,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,23,17,0
