,month,name,latitude,longitude,count,rank
95,6,E 17 St & Broadway,40.73704984,-73.99009296,2005,6
96,6,Pershing Square North,40.751873,-73.977706,1940,7
97,6,Broadway & E 14 St,40.73454567,-73.99074142,1920,8
98,6,Lafayette St & E 8 St,40.73028666,-73.9907647,1918,9
99,6,University Pl & E 14 St,40.73492695,-73.99200509,1873,10
100,10,E 7 St & Avenue A,40.72621788,-73.98379855,2641,1
101,10,Lafayette St & E 8 St,40.73028666,-73.9907647,2571,2
102,10,E 14 St & Avenue B,40.72938685,-73.97772429,2285,3
103,10,Broadway & E 14 St,40.73454567,-73.99074142,2040,4
104,10,Lafayette St & E 8 St,40.73028666,-73.9907647,1981,5
105,10,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,1905,6
106,10,Carmine St & 6 Ave,40.73038599,-74.00214988,1863,7
107,10,University Pl & E 14 St,40.73492695,-73.99200509,1820,8
108,10,E 10 St & Avenue A,40.72740794,-73.98142006,1763,9
109,10,Pershing Square North,40.751873,-73.977706,1756,10
110,12,Broadway & E 14 St,40.73454567,-73.99074142,1131,1
111,12,Lafayette St & E 8 St,40.73028666,-73.9907647,1100,2
112,12,Carmine St & 6 Ave,40.73038599,-74.00214988,937,3
113,12,E 7 St & Avenue A,40.72621788,-73.98379855,924,4
114,12,E 17 St & Broadway,40.73704984,-73.99009296,894,5
115,12,1 Ave & E 15 St,40.73221853,-73.98165557,880,6
116,12,Pershing Square North,40.751873,-73.977706,871,7
117,12,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,835,8
118,12,University Pl & E 14 St,40.73492695,-73.99200509,823,9
119,12,W 21 St & 6 Ave,40.74173969,-73.99415556,771,10
