,month,name,latitude,longitude,count,rank
0,3,8 Ave & W 33 St,40.751551,-73.993934,3188,1
1,3,W 41 St & 8 Ave,40.75640548,-73.9900262,2388,2
2,3,W 33 St & 7 Ave,40.75019995,-73.99093085,2243,3
3,3,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,1951,4
4,3,W 31 St & 7 Ave,40.749156,-73.9916,1949,5
5,3,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,1821,6
6,3,Pershing Square North,40.751873,-73.977706,1791,7
7,3,Lafayette St & E 8 St,40.73028666,-73.9907647,1740,8
8,3,W 21 St & 6 Ave,40.74173969,-73.99415556,1733,9
9,3,E 17 St & Broadway,40.73704984,-73.99009296,1646,10
10,8,8 Ave & W 31 St,40.75096734871598,-73.99444207549095,7376,1
11,8,Pershing Square North,40.751873,-73.977706,6628,2
12,8,West St & Chambers St,40.71754834,-74.01322069,6056,3
13,8,E 17 St & Broadway,40.73704984,-73.99009296,5791,4
14,8,West St & Chambers St,40.71754834,-74.01322069,5766,5
15,8,Pershing Square North,40.751873,-73.977706,5420,6
16,8,Lafayette St & E 8 St,40.73028666,-73.9907647,5188,7
17,8,Broadway & W 60 St,40.76915505,-73.98191841,5147,8
18,8,W 21 St & 6 Ave,40.74173969,-73.99415556,5089,9
19,8,Broadway & W 60 St,40.76915505,-73.98191841,4973,10
20,11,Pershing Square North,40.751873,-73.977706,4908,1
21,11,Pershing Square North,40.751873,-73.977706,4437,2
22,11,E 17 St & Broadway,40.73704984,-73.99009296,3884,3
23,11,W 21 St & 6 Ave,40.74173969,-73.99415556,3866,4
24,11,Lafayette St & E 8 St,40.73028666,-73.9907647,3859,5
25,11,Lafayette St & E 8 St,40.73028666,-73.9907647,3537,6
26,11,W 41 St & 8 Ave,40.75640548,-73.9900262,3510,7
27,11,Broadway & E 14 St,40.73454567,-73.99074142,3349,8
28,11,W 21 St & 6 Ave,40.74173969,-73.99415556,3154,9
29,11,W 33 St & 7 Ave,40.75019995,-73.99093085,3051,10
30,4,8 Ave & W 31 St,40.75096734871598,-73.99444207549095,4381,1
31,4,E 17 St & Broadway,40.73704984,-73.99009296,3370,2
32,4,Pershing Square North,40.751873,-73.977706,3337,3
33,4,W 21 St & 6 Ave,40.74173969,-73.99415556,3308,4
