,0,1
0,ten,"[[[40.75407623370905, -73.99340229134286], [40.689407196044925, -73.97317901611328], [40.769517047064646, -73.94374997275216], [40.74866730058697, -73.94442775887502], [40.757787555991534, -73.97390655700319], [40.73282681978666, -74.04553868220403], [40.80634762378449, -73.94188641487284], [40.71297881852335, -74.00753157886106], [40.7302691391091, -73.9923448749617], [40.78689074772661, -73.97005708755987]]]"
1,fif,"[[[40.763310023716514, -74.0257819039481], [40.812309900919594, -73.9294490814209], [40.75839566169901, -73.98817005563289], [40.698086738586426, -73.93509864807129], [40.72234916687012, -73.99686228434244], [40.80582809448242, -73.99174499511719], [40.76458058591749, -73.93663437640082], [40.762418282998574, -73.9766276591533], [40.72662353515625, -73.94791630336216], [40.75121548301295, -74.00403715434827], [40.73535641756925, -74.03576313365589], [40.682314065786514, -73.98150282639725], [40.72091402326311, -74.06529562813894], [40.78235973011364, -73.9540786743164], [40.73709962174699, -73.98976939433331], [40.748625437418625, -73.99185163709852], [40.779171562194826, -73.98098640441894], [40.685593196323936, -73.99728720528738], [40.750946472738384, -73.9428551219334], [40.761635589599614, -73.95557250976563], [40.770288194928845, -73.9582633972168], [40.764059702555336, -74.07892100016275], [40.79154586791992, -74.06339263916016], [40.71429888407389, -73.96141052246094], [40.75217745381017, -73.98057826872795], [40.7186157472672, -74.00687359225365], [40.81069271381085, -73.95128631591797], [40.741273825509204, -73.98046766008649], [40.791451644897464, -73.94219436645508], [40.79520298884465, -73.97101064828726], [40.67941761016846, -73.9339427947998], [40.72446170606111, -73.98661482961553], [40.70777184622628, -74.01125880650112], [40.718248220590446, -74.03835179255559], [40.74555282592774, -73.94885620117188], [40.76206468280993, -73.96721669247276], [40.78072738647461, -73.94743832674894], [40.74246520996094, -74.00102325439454], [40.69436314900716, -73.98859608968098], [40.68741035461426, -73.94749450683594], [40.75301873056512, -73.97256188643605], [40.7764198996804, -73.96234269575639], [40.80781470404731, -73.93810356987846], [40.730838775634766, -74.00192746249112], [40.78753768073188, -73.97446738349066], [40.76088894114775, -73.99609734030331], [40.769028472900395, -73.986088180542], [40.77462252448587, -73.95231448902803], [40.68611145019531, -73.96476554870605], [40.80335354804993, -73.96363639831543]]]"
2,hun,"[[[40.745267531451056, -73.94715208165786], [40.764059702555336, -74.07892100016275], [40.72463813194862, -73.99218515249399], [40.812309900919594, -73.9294490814209], [40.75317363739014, -73.97652244567871], [40.77796955108643, -73.95376434326172], [40.79322814941406, -73.97181408221905], [40.75902342796326, -73.97670650482178], [40.76150674086351, -73.99678068894607], [40.777048110961914, -73.96134185791016], [40.715970039367676, -74.04487991333008], [40.806508382161454, -73.95365905761719], [40.682191115159256, -73.98020641620343], [40.67941761016846, -73.9339427947998], [40.73209190368652, -74.00342305501302], [40.70451320301403, -74.00899921764027], [40.75244267781575, -74.00408554077148], [40.73257064819336, -73.9819278717041], [40.74061813354493, -74.00617294311523], [40.744529724121094, -74.02673721313477], [40.73628279742073, -73.9922566133387], [40.76458058591749, -73.93663437640082], [40.761441972520615, -73.96262571546767], [40.789874182807075, -73.94419436984592], [40.79982223510743, -73.93582305908204], [40.74451184272766, -73.98234701156616], [40.72082541970646, -74.00497391644646], [40.786984252929685, -73.97476348876953], [40.80582809448242, -73.99174499511719], [40.76659838358561, -73.99196370442708], [40.76898956298828, -73.95763683319092], [40.717610359191895, -73.95895004272461], [40.75008773803711, -73.99145918626053], [40.675697326660156, -73.96342468261719], [40.813341776529946, -73.9542465209961], [40.72309875488281, -74.03893788655598], [40.7430419921875, -73.93393925258091], [40.68872833251953, -73.99126739501953], [40.72202682495117, -74.07307434082031], [40.73368708292643, -73.95193481445312], [40.68741035461426, -73.94749450683594], [40.74699074881417, -74.00532095772878], [40.709598032633465, -74.01322886149089], [40.77657222747803, -73.97974109649658], [40.81036694844563, -73.93901062011719], [40.7616974325741, -73.9864501953125], [40.74618500929613, -73.97640932523288], [40.750295003255204, -73.97129397922092], [40.7770622253418, -73.98706970214845], [40.80369737413194, -73.96246846516927], [40.801497565375435, -73.96760898166232], [40.7817497253418, -73.98026106092665], [40.73214149475098, -73.97498321533203], [40.769853591918945, -73.98698043823242], [40.75150911307629, -73.94536731861255], [40.72089385986328, -73.94530868530273], [40.70272254943848, -73.98397064208984], [40.73768768310547, -74.03747863769532], [40.72272148132325, -73.98382186889648], [40.79154586791992, -74.06339263916016], [40.7503907945421, -73.98315344916449], [40.71900018056233, -73.98831558227539], [40.73110478719075, -73.98814188639322], [40.76617778431286, -73.96812369606712], [40.75214385986328, -73.93367080688476], [40.746159076690674, -73.95247745513916], [40.75650427076551, -73.98533418443468], [40.75122413635254, -73.93887481689454], [40.74858023903587, -73.98783319646662], [40.7514533996582, -73.99563544137136], [40.735270182291664, -74.06590270996094], [40.698086738586426, -73.93509864807129], [40.7211172580719, -73.9978666305542], [40.715999603271484, -74.05681228637695], [40.69594383239746, -73.9957103729248], [40.75702428817749, -73.99119027455647], [40.71455764770508, -73.93831634521484], [40.76128959655762, -74.0382308959961], [40.68085479736328, -73.99827829996744], [40.74018383026123, -73.9871416091919], [40.686561584472656, -74.07266235351562], [40.699997901916504, -73.96430587768555], [40.71544075012207, -74.00914669036865], [40.76550636291504, -73.97977333068847], [40.736572265625, -74.05223846435547], [40.7173417409261, -74.03370666503906], [40.77093696594238, -73.95040321350098], [40.75632356342516, -73.96948804353413], [40.74280275617327, -73.99751663208008], [40.744477589925125, -73.99252319335938], [40.72895812988281, -73.95067596435547], [40.80858383178711, -73.94725341796875], [40.78623008728027, -73.95447540283203], [40.69530963897705, -73.98489761352539], [40.737700653076175, -73.97760162353516], [40.7807124211238, -73.94844994178186], [40.76273059844971, -73.97215385437012], [40.77306493123372, -74.01788584391275], [40.729062398274735, -74.03238932291666], [40.72751151190864, -73.99975501166449]]]"
