,month,name,latitude,longitude,count,rank
0,3,Lafayette St & E 8 St,40.73028666,-73.9907647,1103,1
1,3,E 17 St & Broadway,40.73704984,-73.99009296,885,2
2,3,Broadway & E 14 St,40.73454567,-73.99074142,872,3
3,3,E 42 St & Vanderbilt Ave,40.752416,-73.97837,827,4
4,3,W 21 St & 6 Ave,40.74173969,-73.99415556,813,5
5,3,Lafayette St & E 8 St,40.73028666,-73.9907647,731,6
6,3,E 13 St & Avenue A,40.72955361,-73.98057249,688,7
7,3,University Pl & E 14 St,40.73492695,-73.99200509,666,8
8,3,Broadway & E 14 St,40.73454567,-73.99074142,643,9
9,3,W 41 St & 8 Ave,40.75640548,-73.9900262,638,10
10,12,Lafayette St & E 8 St,40.73028666,-73.9907647,742,1
11,12,Broadway & E 14 St,40.73454567,-73.99074142,593,2
12,12,1 Ave & E 15 St,40.73221853,-73.98165557,539,3
13,12,University Pl & E 14 St,40.73492695,-73.99200509,537,4
14,12,E 7 St & Avenue A,40.72621788,-73.98379855,509,5
15,12,8 Ave & W 31 St,40.75044999,-73.99481051,486,6
16,12,E 10 St & Avenue A,40.72740794,-73.98142006,481,7
17,12,St Marks Pl & 2 Ave,40.7284186,-73.98713956,472,8
18,12,1 Ave & E 15 St,40.73221853,-73.98165557,462,9
19,12,Carmine St & 6 Ave,40.73038599,-74.00214988,458,10
20,5,Lafayette St & E 8 St,40.73028666,-73.9907647,2144,1
21,5,University Pl & E 14 St,40.73492695,-73.99200509,1738,2
22,5,Lafayette St & E 8 St,40.73028666,-73.9907647,1706,3
23,5,E 17 St & Broadway,40.73704984,-73.99009296,1685,4
24,5,Broadway & E 14 St,40.73454567,-73.99074142,1543,5
25,5,E 10 St & Avenue A,40.72740794,-73.98142006,1520,6
26,5,West St & Chambers St,40.71754834,-74.01322069,1516,7
27,5,Carmine St & 6 Ave,40.73038599,-74.00214988,1502,8
28,5,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,1469,9
