,month,name,latitude,longitude,count,rank
0,8,Broadway & E 22 St,40.7403432,-73.98955109,8189,1
1,8,Pershing Square North,40.751873,-73.977706,7424,2
2,8,Pershing Square North,40.751873,-73.977706,7124,3
3,8,E 17 St & Broadway,40.73704984,-73.99009296,6495,4
4,8,W 52 St & 5 Ave,40.75992262,-73.97648516,6450,5
5,8,Penn Station Valet,40.751283596962296,-73.99692445993422,6447,6
6,8,E 47 St & Park Ave,40.75510267,-73.97498696,6218,7
7,8,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,6158,8
8,8,West St & Chambers St,40.71754834,-74.01322069,5853,9
9,8,W 21 St & 6 Ave,40.74173969,-73.99415556,5832,10
10,6,Broadway & E 22 St,40.7403432,-73.98955109,7870,1
11,6,Pershing Square North,40.751873,-73.977706,6813,2
12,6,Pershing Square North,40.751873,-73.977706,6374,3
13,6,E 17 St & Broadway,40.73704984,-73.99009296,6315,4
14,6,Penn Station Valet,40.751283596962296,-73.99692445993422,6296,5
15,6,W 21 St & 6 Ave,40.74173969,-73.99415556,5926,6
16,6,E 47 St & Park Ave,40.75510267,-73.97498696,5514,7
17,6,West St & Chambers St,40.71754834,-74.01322069,5513,8
18,6,Lafayette St & E 8 St,40.73028666,-73.9907647,5341,9
19,6,12 Ave & W 40 St,40.76087502,-74.00277668,5226,10
20,7,Broadway & E 22 St,40.7403432,-73.98955109,7313,1
21,7,Pershing Square North,40.751873,-73.977706,6317,2
22,7,Pershing Square North,40.751873,-73.977706,5901,3
23,7,W 21 St & 6 Ave,40.74173969,-73.99415556,5707,4
24,7,E 17 St & Broadway,40.73704984,-73.99009296,5671,5
25,7,Penn Station Valet,40.751283596962296,-73.99692445993422,5466,6
26,7,West St & Chambers St,40.71754834,-74.01322069,5290,7
27,7,12 Ave & W 40 St,40.76087502,-74.00277668,5267,8
28,7,W 20 St & 11 Ave,40.746745,-74.007756,4842,9
29,7,W 21 St & 6 Ave,40.74173969,-73.99415556,4831,10
30,10,Barclay St & Church St,40.71291224,-74.01020234,1,1
31,10,University Pl & E 8 St,40.73143724085228,-73.99490341544151,1,1
32,10,Greenwich St & North Moore St,40.72015227023285,-74.01036500930786,1,1
33,10,W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178,1,1
34,10,Washington St & Gansevoort St,40.739323,-74.008119,1,1
35,10,NYCBS Depot - FAR,40.751483,-73.996764,1,1
36,10,7 Ave & Park Pl,40.6776147,-73.97324283,1,1
37,10,3 St & Hoyt St,40.6777287,-73.99364123,1,1
38,10,W 84 St & Columbus Ave,40.78499979,-73.97283406,1,1
39,10,NYCBS Depot - PIT,40.71690978045965,-73.98383796215057,1,1
40,3,Pershing Square North,40.751873,-73.977706,4939,1
41,3,Pershing Square North,40.751873,-73.977706,4909,2
42,3,W 21 St & 6 Ave,40.74173969,-73.99415556,4293,3
43,3,Lafayette St & E 8 St,40.73028666,-73.9907647,4247,4
44,3,Penn Station Valet,40.751283596962296,-73.99692445993422,4046,5
45,3,E 17 St & Broadway,40.73704984,-73.99009296,4022,6
46,3,Broadway & E 22 St,40.7403432,-73.98955109,3657,7
47,3,W 21 St & 6 Ave,40.74173969,-73.99415556,3455,8
48,3,E 47 St & Park Ave,40.75510267,-73.97498696,3433,9
49,3,Lafayette St & E 8 St,40.73028666,-73.9907647,3401,10
50,5,Broadway & E 22 St,40.7403432,-73.98955109,5752,1
51,5,Pershing Square North,40.751873,-73.977706,5469,2
52,5,Penn Station Valet,40.751283596962296,-73.99692445993422,5435,3
53,5,W 21 St & 6 Ave,40.74173969,-73.99415556,5153,4
54,5,Pershing Square North,40.751873,-73.977706,5129,5
55,5,E 17 St & Broadway,40.73704984,-73.99009296,5053,6
56,5,Lafayette St & E 8 St,40.73028666,-73.9907647,4875,7
57,5,West St & Chambers St,40.71754834,-74.01322069,4783,8
58,5,E 47 St & Park Ave,40.75510267,-73.97498696,4650,9
59,5,W 52 St & 5 Ave,40.75992262,-73.97648516,4363,10
60,1,W 21 St & 6 Ave,40.74173969,-73.99415556,3111,1
61,1,Pershing Square North,40.751873,-73.977706,3059,2
62,1,Pershing Square North,40.751873,-73.977706,2863,3
63,1,E 17 St & Broadway,40.73704984,-73.99009296,2829,4
64,1,Lafayette St & E 8 St,40.73028666,-73.9907647,2756,5
65,1,W 21 St & 6 Ave,40.74173969,-73.99415556,2529,6
66,1,Broadway & E 14 St,40.73454567,-73.99074142,2393,7
67,1,Broadway & E 22 St,40.7403432,-73.98955109,2380,8
68,1,W 18 St & 6 Ave,40.73971301,-73.99456405,2232,9
69,1,Lafayette St & E 8 St,40.73028666,-73.9907647,2231,10
70,9,Broadway & E 22 St,40.7403432,-73.98955109,8029,1
71,9,West St & Chambers St,40.71754834,-74.01322069,7576,2
72,9,Pershing Square North,40.751873,-73.977706,7322,3
73,9,Pershing Square North,40.751873,-73.977706,6921,4
74,9,W 52 St & 5 Ave,40.75992262,-73.97648516,6871,5
75,9,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,6113,6
76,9,E 17 St & Broadway,40.73704984,-73.99009296,6112,7
77,9,Central Park S & 6 Ave,40.76590936,-73.97634151,6080,8
78,9,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,6064,9
79,9,E 47 St & Park Ave,40.75510267,-73.97498696,6028,10
80,4,Pershing Square North,40.751873,-73.977706,4818,1
81,4,Broadway & E 22 St,40.7403432,-73.98955109,4759,2
82,4,Pershing Square North,40.751873,-73.977706,4703,3
83,4,Penn Station Valet,40.751283596962296,-73.99692445993422,4645,4
84,4,E 17 St & Broadway,40.73704984,-73.99009296,4493,5
85,4,Lafayette St & E 8 St,40.73028666,-73.9907647,4393,6
86,4,W 21 St & 6 Ave,40.74173969,-73.99415556,4360,7
87,4,West St & Chambers St,40.71754834,-74.01322069,3756,8
88,4,E 47 St & Park Ave,40.75510267,-73.97498696,3724,9
89,4,W 21 St & 6 Ave,40.74173969,-73.99415556,3553,10
90,2,Pershing Square North,40.751873,-73.977706,3425,1
91,2,Pershing Square North,40.751873,-73.977706,3327,2
92,2,W 21 St & 6 Ave,40.74173969,-73.99415556,3256,3
93,2,Lafayette St & E 8 St,40.73028666,-73.9907647,2974,4
94,2,E 17 St & Broadway,40.73704984,-73.99009296,2721,5
95,2,W 21 St & 6 Ave,40.74173969,-73.99415556,2597,6
96,2,Broadway & E 22 St,40.7403432,-73.98955109,2486,7
97,2,E 47 St & Park Ave,40.75510267,-73.97498696,2477,8
98,2,Lafayette St & E 8 St,40.73028666,-73.9907647,2354,9
99,2,8 Ave & W 33 St,40.751551,-73.993934,2340,10
