,month,count,name,latitude,longitude
0,9,16557,Pershing Square North,40.751873,-73.977706
1,4,11562,Pershing Square North,40.751873,-73.977706
2,6,15756,Pershing Square North,40.751873,-73.977706
3,2,6938,Pershing Square North,40.751873,-73.977706
4,3,11634,Pershing Square North,40.751873,-73.977706
5,10,4,E 25 St & 1 Ave,40.7381765,-73.97738662
6,1,6437,Pershing Square North,40.751873,-73.977706
7,8,16385,Pershing Square North,40.751873,-73.977706
8,5,12776,Pershing Square North,40.751873,-73.977706
9,7,13848,Pershing Square North,40.751873,-73.977706
