,month,name,latitude,longitude,count,rank
0,5,Pershing Square North,40.751873,-73.977706,7039,1
1,5,Pershing Square North,40.751873,-73.977706,6769,2
2,5,Broadway & E 22 St,40.7403432,-73.98955109,5729,3
3,5,West St & Chambers St,40.71754834,-74.01322069,5596,4
4,5,West St & Chambers St,40.71754834,-74.01322069,5123,5
5,5,E 17 St & Broadway,40.73704984,-73.99009296,4971,6
6,5,12 Ave & W 40 St,40.76087502,-74.00277668,4774,7
7,5,W 21 St & 6 Ave,40.74173969,-73.99415556,4571,8
8,5,W 52 St & 5 Ave,40.75992262,-73.97648516,4538,9
9,5,Lafayette St & E 8 St,40.73028666,-73.9907647,4350,10
10,10,E 16 St & 5 Ave,40.73726186,-73.99238967,1,1
11,10,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,1,1
12,10,Centre St & Chambers St,40.71273266,-74.0046073,1,1
13,10,Washington Pl & 6 Ave,40.73224119,-74.00026394,1,1
14,10,Columbus Ave & W 72 St,40.7770575,-73.97898475,1,1
15,10,W 74 St & Columbus Ave,40.7785669,-73.97754961,1,1
16,10,E 45 St & 3 Ave,40.75255434,-73.97282625,1,1
17,10,E 47 St & Park Ave,40.75510267,-73.97498696,1,1
18,10,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,1,1
19,10,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,1,1
20,10,Central Park S & 6 Ave,40.76590936,-73.97634151,1,1
21,10,7 Ave & Park Pl,40.6776147,-73.97324283,1,1
22,10,E 3 St & 1 Ave,40.72467721,-73.98783413,1,1
23,10,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472,1,1
24,10,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,1,1
25,10,E 40 St & 5 Ave,40.752062307,-73.9816324043,1,1
26,10,Avenue D & E 12 St,40.72580614,-73.97422494,1,1
27,10,W 89 St & Columbus Ave,40.7882213,-73.97041561,1,1
28,10,3 St & Hoyt St,40.6777287,-73.99364123,1,1
29,10,W 63 St & Broadway,40.77163851,-73.98261428,1,1
30,10,E 84 St & Park Ave,40.77862688,-73.95772073,1,1
31,10,9 Ave & W 18 St,40.74317449,-74.00366443,1,1
32,10,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472,1,1
33,10,Catherine St & Monroe St,40.71117444,-73.99682619,1,1
34,3,Pershing Square North,40.751873,-73.977706,6502,1
35,3,Pershing Square North,40.751873,-73.977706,6316,2
